file_rel,part_index,kind,speaker,jp,en
bt0030.spt,899,dialogue,,言ったはずだぞ。,I told you that.
bt0030.spt,902,dialogue,,近づくことはならぬと――,You must not come near-
bt0031.spt,859,label,,リュウセイ,Ryusei
bt0031.spt,884,dialogue,リュウセイ,おサンポ同好会には,We won't be beaten
bt0031.spt,887,dialogue,リュウセイ,まけないぜ！,by the Walking Club!
bt0032.spt,859,label,,クヘイジ,Kuheiji
bt0032.spt,872,dialogue,クヘイジ,へへ、探検部だってよ。,"Hehe, it's the Exploration Club."
bt0032.spt,875,dialogue,クヘイジ,ラッキー。,Lucky me.
bt0033.spt,859,label,,ギンレイ,Ginrei
bt0033.spt,872,dialogue,ギンレイ,うちには頼もし～い助っ人がいるんだから。,We've got a reliable helper here.
bt0034.spt,859,label,,リュウセイ,Ryusei
bt0034.spt,872,dialogue,リュウセイ,マグレもここで終わりだ。,Your luck runs out here.
bt0034.spt,875,dialogue,リュウセイ,いつもどおり叩きのめしてやるぜ！,"I'll beat you to a pulp, just like always!"
bt0035.spt,859,label,,野良メダロット,Stray Medabot
bt0035.spt,872,dialogue,野良メダロット,・・・アシ・・・スキ・・・,...Legs...I like them...
bt0036.spt,859,label,,ロボロボ団長,Rubberobo Leader
bt0036.spt,875,dialogue,ロボロボ団長,目上に対する礼儀もなってねえ。,You don't even have basic manners for your
bt0036.spt,878,dialogue,ロボロボ団長,これは体罰もやむを得んなあ！,elders. This calls for corporal punishment!
bt0037.spt,859,label,,巨大メダロット,Giant Medabot
bt0037.spt,884,dialogue,巨大メダロット,・・・てきはっけん！,...Enemy detected!
bt0037.spt,887,dialogue,巨大メダロット,・・・はいじょする！,...Eliminate them!
bt0038.spt,859,label,,野良メダロット,Stray Medabot
bt0038.spt,881,dialogue,野良メダロット,・・・ガ・・・,...Target...
bt0039.spt,859,label,,野良メダロット,Stray Medabot
bt0039.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Crush...
bt0040.spt,859,label,,野良メダロット,Stray Medabot
bt0040.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Intruder...
bt0041.spt,859,label,,ロボロボ団,Rubberobo Gang
bt0041.spt,884,dialogue,ロボロボ団,これだけいれば、負けないロボ～！,"With this many, we won't lose, robo!"
bt0045.spt,859,label,,メダリウム？,Medalium?
bt0045.spt,881,dialogue,メダリウム？,・・・ギ・・・ギ・・・ギ・・・,...Gri...Gri...Gri...
bt0046.spt,859,label,,メダリウム？,Medalium?
bt0046.spt,881,dialogue,メダリウム？,・・・ギ・・・ギ・・・ギ・・・,...Gri...Gri...Gri...
bt0047.spt,859,label,,メダリウム？,Medalium?
bt0047.spt,881,dialogue,メダリウム？,・・・ギ・・・ギ・・・ギ・・・,...Gri...Gri...Gri...
bt0048.spt,859,label,,メダリウム？,Medalium?
bt0048.spt,881,dialogue,メダリウム？,・・・ギ・・・ギ・・・ギ・・・,...Gri...Gri...Gri...
bt0049.spt,859,label,,メダリウム？,Medalium?
bt0049.spt,881,dialogue,メダリウム？,・・・ギ・・・ギ・・・ギ・・・,...Gri...Gri...Gri...
bt0050.spt,859,label,,メダルイーター,Medal Eater
bt0050.spt,881,dialogue,メダルイーター,・・・・・・・・。,・・・・・・・・。
bt0051.spt,859,label,,暴走メダロット,Rampaging Medabot
bt0051.spt,884,dialogue,暴走メダロット,・・・×××・・・。,・・・!?×・・・。
bt0052.spt,859,label,,暴走メダロット,Rampaging Medabot
bt0052.spt,872,dialogue,暴走メダロット,・・・×××・・・。,・・・×?!・・・。
bt0053.spt,859,label,,暴走メダロット,Rampaging Medabot
bt0053.spt,872,dialogue,暴走メダロット,・・・×××・・・。,・・・!××?・・・。
bt0054.spt,859,label,,暴走メダロット,Rampaging Medabot
bt0054.spt,872,dialogue,暴走メダロット,・・・×××・・・。,・・・?!××・・・。
bt0060.spt,859,label,,生徒会長：スズネ,Student Council President: Suzune
bt0060.spt,875,dialogue,生徒会長：スズネ,相手になろう。,I'll be your opponent.
bt0061.spt,859,label,,アケボノ先生,Mr. Akebono
bt0061.spt,872,dialogue,アケボノ先生,おういいぞ！,Alright!
bt0061.spt,875,dialogue,アケボノ先生,かかってきなさい！,Bring it on!
bt0065.spt,859,label,,野良メダロット,Stray Medabot
bt0065.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Find...
bt0066.spt,859,label,,野良メダロット,Stray Medabot
bt0066.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Must...
bt0067.spt,859,label,,野良メダロット,Stray Medabot
bt0067.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Re...build...
bt0068.spt,859,label,,野良メダロット,Stray Medabot
bt0068.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Parts...
bt0069.spt,859,label,,野良メダロット,Stray Medabot
bt0069.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Is...that...
bt0069.spt,888,dialogue,野良メダロット,・・・ガ・・・,...Error...
bt0070.spt,859,label,,野良メダロット,Stray Medabot
bt0070.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Free...
bt0071.spt,859,label,,野良メダロット,Stray Medabot
bt0071.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Run...
bt0072.spt,859,label,,野良メダロット,Stray Medabot
bt0072.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Try...
bt0072.spt,888,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0073.spt,859,label,,野良メダロット,Stray Medabot
bt0073.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0073.spt,888,dialogue,野良メダロット,・・・ガ・・・,...To...Stop...
bt0074.spt,859,label,,野良メダロット,Stray Medabot
bt0074.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Perish...
bt0075.spt,859,label,,野良メダロット,Stray Medabot
bt0075.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Unleash...
bt0076.spt,859,label,,野良メダロット,Stray Medabot
bt0076.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Mine...
bt0077.spt,859,label,,野良メダロット,Stray Medabot
bt0077.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Take...
bt0078.spt,859,label,,野良メダロット,Stray Medabot
bt0078.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Hungry...
bt0079.spt,859,label,,野良メダロット,Stray Medabot
bt0079.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Oil...
bt0080.spt,859,label,,野良メダロット,Stray Medabot
bt0080.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0080.spt,888,dialogue,野良メダロット,・・・ガ・・・,...Give...Me...
bt0081.spt,859,label,,野良メダロット,Stray Medabot
bt0081.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Be...Back...
bt0082.spt,859,label,,野良メダロット,Stray Medabot
bt0082.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Battle...
bt0083.spt,859,label,,野良メダロット,Stray Medabot
bt0083.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Robattle...
bt0084.spt,859,label,,野良メダロット,Stray Medabot
bt0084.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Can't...
bt0085.spt,859,label,,野良メダロット,Stray Medabot
bt0085.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Leave...Now...
bt0086.spt,859,label,,野良メダロット,Stray Medabot
bt0086.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Scanning...
bt0087.spt,859,label,,野良メダロット,Stray Medabot
bt0087.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0087.spt,888,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0088.spt,859,label,,野良メダロット,Stray Medabot
bt0088.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Searching...
bt0089.spt,859,label,,野良メダロット,Stray Medabot
bt0089.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Master...
bt0090.spt,859,label,,野良メダロット,Stray Medabot
bt0090.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0090.spt,888,dialogue,野良メダロット,・・・ガ・・・,...Bye...
bt0091.spt,859,label,,野良メダロット,Stray Medabot
bt0091.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0091.spt,891,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0092.spt,859,label,,野良メダロット,Stray Medabot
bt0092.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Full...
bt0093.spt,859,label,,野良メダロット,Stray Medabot
bt0093.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0094.spt,859,label,,野良メダロット,Stray Medabot
bt0094.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0095.spt,859,label,,野良メダロット,Stray Medabot
bt0095.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0096.spt,859,label,,野良メダロット,Stray Medabot
bt0096.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0097.spt,859,label,,野良メダロット,Stray Medabot
bt0097.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Power...
bt0098.spt,859,label,,野良メダロット,Stray Medabot
bt0098.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0098.spt,891,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0099.spt,859,label,,野良メダロット,Stray Medabot
bt0099.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Can't...Lose...
bt0100.spt,859,label,,野良メダロット,Stray Medabot
bt0100.spt,872,dialogue,野良メダロット,・・・ガ・・・,...I'm...
bt0101.spt,859,label,,野良メダロット,Stray Medabot
bt0101.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0101.spt,888,dialogue,野良メダロット,・・・ガ・・・,...Day...
bt0102.spt,859,label,,野良メダロット,Stray Medabot
bt0102.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0103.spt,859,label,,野良メダロット,Stray Medabot
bt0103.spt,872,dialogue,野良メダロット,・・・ガ・・・,...One...
bt0104.spt,859,label,,野良メダロット,Stray Medabot
bt0104.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0105.spt,859,label,,野良メダロット,Stray Medabot
bt0105.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0106.spt,859,label,,野良メダロット,Stray Medabot
bt0106.spt,884,dialogue,野良メダロット,・・・ガ・・・,...I'll...Be...
bt0107.spt,859,label,,野良メダロット,Stray Medabot
bt0107.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Here...
bt0108.spt,859,label,,野良メダロット,Stray Medabot
bt0108.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0109.spt,859,label,,野良メダロット,Stray Medabot
bt0109.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Run...
bt0110.spt,859,label,,野良メダロット,Stray Medabot
bt0110.spt,884,dialogue,野良メダロット,・・・ガ・・・,...There...
bt0111.spt,859,label,,野良メダロット,Stray Medabot
bt0111.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Flee...
bt0112.spt,859,label,,野良メダロット,Stray Medabot
bt0112.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0113.spt,859,label,,野良メダロット,Stray Medabot
bt0113.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0114.spt,859,label,,野良メダロット,Stray Medabot
bt0114.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Raah...
bt0115.spt,859,label,,野良メダロット,Stray Medabot
bt0115.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gaaah...
bt0116.spt,859,label,,野良メダロット,Stray Medabot
bt0116.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Haaah...
bt0117.spt,859,label,,野良メダロット,Stray Medabot
bt0117.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0118.spt,859,label,,野良メダロット,Stray Medabot
bt0118.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Oooah...
bt0119.spt,859,label,,野良メダロット,Stray Medabot
bt0119.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Ruuu...
bt0120.spt,859,label,,野良メダロット,Stray Medabot
bt0120.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Profe...
bt0121.spt,859,label,,野良メダロット,Stray Medabot
bt0121.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0122.spt,859,label,,野良メダロット,Stray Medabot
bt0122.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Never...
bt0123.spt,859,label,,野良メダロット,Stray Medabot
bt0123.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0124.spt,859,label,,野良メダロット,Stray Medabot
bt0124.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Again...
bt0125.spt,859,label,,野良メダロット,Stray Medabot
bt0125.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Not...
bt0126.spt,859,label,,野良メダロット,Stray Medabot
bt0126.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0130.spt,859,label,,野良メダロット,Stray Medabot
bt0130.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Done...For...
bt0131.spt,859,label,,野良メダロット,Stray Medabot
bt0131.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0135.spt,859,label,,野良メダロット,Stray Medabot
bt0135.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Who...
bt0136.spt,859,label,,野良メダロット,Stray Medabot
bt0136.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0140.spt,859,label,,野良メダロット,Stray Medabot
bt0140.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Data...
bt0141.spt,859,label,,野良メダロット,Stray Medabot
bt0141.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Where...
bt0142.spt,859,label,,野良メダロット,Stray Medabot
bt0142.spt,889,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0142.spt,903,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0143.spt,859,label,,野良メダロット,Stray Medabot
bt0143.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Lost...
bt0150.spt,859,label,,野良メダロット,Stray Medabot
bt0150.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0151.spt,859,label,,野良メダロット,Stray Medabot
bt0151.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0152.spt,859,label,,野良メダロット,Stray Medabot
bt0152.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Is...My...
bt0153.spt,859,label,,野良メダロット,Stray Medabot
bt0153.spt,889,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0153.spt,903,dialogue,野良メダロット,・・・ガ・・・,...Mines...
bt0155.spt,859,label,,野良メダロット,Stray Medabot
bt0155.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0156.spt,859,label,,野良メダロット,Stray Medabot
bt0156.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0157.spt,859,label,,野良メダロット,Stray Medabot
bt0157.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gooo...
bt0158.spt,859,label,,野良メダロット,Stray Medabot
bt0158.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0160.spt,859,label,,野良メダロット,Stray Medabot
bt0160.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Only...
bt0161.spt,859,label,,野良メダロット,Stray Medabot
bt0161.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0162.spt,859,label,,野良メダロット,Stray Medabot
bt0162.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0162.spt,888,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0163.spt,859,label,,野良メダロット,Stray Medabot
bt0163.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Time...
bt0164.spt,859,label,,野良メダロット,Stray Medabot
bt0164.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Will...
bt0165.spt,859,label,,野良メダロット,Stray Medabot
bt0165.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0166.spt,859,label,,野良メダロット,Stray Medabot
bt0166.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Tell...Them...
bt0167.spt,859,label,,野良メダロット,Stray Medabot
bt0167.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0168.spt,859,label,,野良メダロット,Stray Medabot
bt0168.spt,872,dialogue,野良メダロット,・・・ガ・・・,...You...
bt0169.spt,859,label,,野良メダロット,Stray Medabot
bt0169.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Have...
bt0170.spt,859,label,,野良メダロット,Stray Medabot
bt0170.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0171.spt,859,label,,野良メダロット,Stray Medabot
bt0171.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0172.spt,859,label,,野良メダロット,Stray Medabot
bt0172.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Why...
bt0173.spt,859,label,,野良メダロット,Stray Medabot
bt0173.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Can...
bt0174.spt,859,label,,野良メダロット,Stray Medabot
bt0174.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0175.spt,859,label,,野良メダロット,Stray Medabot
bt0175.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Must...
bt0176.spt,859,label,,野良メダロット,Stray Medabot
bt0176.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0177.spt,859,label,,野良メダロット,Stray Medabot
bt0177.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0178.spt,859,label,,野良メダロット,Stray Medabot
bt0178.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0179.spt,859,label,,野良メダロット,Stray Medabot
bt0179.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Keep...
bt0180.spt,859,label,,野良メダロット,Stray Medabot
bt0180.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0181.spt,859,label,,野良メダロット,Stray Medabot
bt0181.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Going...
bt0182.spt,859,label,,野良メダロット,Stray Medabot
bt0182.spt,877,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0182.spt,888,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0183.spt,859,label,,野良メダロット,Stray Medabot
bt0183.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0184.spt,859,label,,野良メダロット,Stray Medabot
bt0184.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0185.spt,859,label,,野良メダロット,Stray Medabot
bt0185.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Look...
bt0186.spt,859,label,,野良メダロット,Stray Medabot
bt0186.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0187.spt,859,label,,野良メダロット,Stray Medabot
bt0187.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0188.spt,859,label,,野良メダロット,Stray Medabot
bt0188.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0191.spt,859,label,,野良メダロット,Stray Medabot
bt0191.spt,869,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0195.spt,859,label,,野良メダロット,Stray Medabot
bt0195.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0196.spt,859,label,,野良メダロット,Stray Medabot
bt0196.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Strike...
bt0197.spt,859,label,,野良メダロット,Stray Medabot
bt0197.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Me...
bt0205.spt,859,label,,野良メダロット,Stray Medabot
bt0205.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Lah...
bt0206.spt,859,label,,野良メダロット,Stray Medabot
bt0206.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Sah...
bt0207.spt,859,label,,野良メダロット,Stray Medabot
bt0207.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0208.spt,859,label,,野良メダロット,Stray Medabot
bt0208.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Away...
bt0210.spt,859,label,,野良メダロット,Stray Medabot
bt0210.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0211.spt,859,label,,野良メダロット,Stray Medabot
bt0211.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Free...
bt0212.spt,859,label,,野良メダロット,Stray Medabot
bt0212.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0213.spt,859,label,,野良メダロット,Stray Medabot
bt0213.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0214.spt,859,label,,野良メダロット,Stray Medabot
bt0214.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Your...Parts...
bt0215.spt,859,label,,野良メダロット,Stray Medabot
bt0215.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0216.spt,859,label,,野良メダロット,Stray Medabot
bt0216.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Ran...
bt0217.spt,859,label,,野良メダロット,Stray Medabot
bt0217.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0218.spt,859,label,,野良メダロット,Stray Medabot
bt0218.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0220.spt,859,label,,野良メダロット,Stray Collection
bt0220.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0240.spt,859,label,,暴走メダロット,Rampaging Medabot
bt0240.spt,872,dialogue,暴走メダロット,・・・×××・・・。,・・・×××・・・。
bt0241.spt,859,label,,暴走メダロット,Rampaging Medabot
bt0241.spt,872,dialogue,暴走メダロット,・・・×××・・・。,・・・×××・・・。
bt0251.spt,859,label,,野良メダロット,Stray Medabot
bt0251.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Roba...
bt0252.spt,859,label,,野良メダロット,Stray Medabot
bt0252.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0253.spt,859,label,,野良メダロット,Stray Medabot
bt0253.spt,872,dialogue,野良メダロット,・・・タ・チ・サ・レ・・・,...Ta..Chi..Sa..Re...
bt0254.spt,859,label,,野良メダロット,Stray Medabot
bt0254.spt,884,dialogue,野良メダロット,・・・ブィンブィンブィン・・・,...Vroom vroom vroom...
bt0255.spt,859,label,,野良メダロット,Stray Medabot
bt0255.spt,884,dialogue,野良メダロット,・・・ドッカイケヨ・・・,...Get lost...
bt0256.spt,859,label,,野良メダロット,Stray Medabot
bt0256.spt,884,dialogue,野良メダロット,・・・アッチイケヨ・・・,...Get lost...
bt0257.spt,859,label,,ロボロボ団長,Rubberobo Gang Leader
bt0257.spt,875,dialogue,ロボロボ団長,ちっ、せっかく良さげな場所が見つかって,"Damn it, I was in a good mood after finally "
bt0257.spt,878,dialogue,ロボロボ団長,ゴキゲンだったのに水を差しやがって。,"finding a nice spot, but you had to ruin it."
bt0258.spt,859,label,,ロボロボ団長,Rubberobo Gang Leader
bt0258.spt,875,dialogue,ロボロボ団長,オレ様はコメディアンじゃねえ。,I ain't no comedian.
bt0258.spt,878,dialogue,ロボロボ団長,ロッカーだ！！,I'm a rocker!!
bt0259.spt,859,label,,野良メダロット,Stray Medabot
bt0259.spt,872,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0260.spt,859,label,,ロボロボ団長,Rubberobo Gang Leader
bt0260.spt,875,dialogue,ロボロボ団長,だれがおっさんだ！！,Who the hell are you calling an old man?!
bt0261.spt,859,label,,野良メダロット,Stray Medabot
bt0261.spt,884,dialogue,野良メダロット,・・・ガ・・・,...Gah...
bt0262.spt,859,label,,野良メダロット,Stray Medabot
bt0262.spt,872,dialogue,野良メダロット,・・・ロボトル・・・スルノカ,...Robattle...Shall we?
bt0263.spt,859,label,,サララ,Sarara
bt0263.spt,872,dialogue,サララ,こうなりゃ実力行使よ！,"Well, this calls for force!"
