jp,en,file
5ミオ救出,5 Mio Rescue,romfs\story\spt\rom_menu.spt
5倉庫に急ぐメダロット,5 Medabots rushing to the warehouse,romfs\story\spt\rom_menu.spt
ゴールドメダロット,Gold medabot,romfs\story\spt\rom_menu.spt
メダロット,Medabot,romfs\story\spt\test_menu_a2.spt
メダロットの名前表示テスト,Medabot name display test,romfs\story\spt\test004.spt
野良メダロット,Stray medabot,romfs\story\spt\bt0001.spt
野良メダロット？,Stray medabots?,romfs\story\spt\bt0016.spt
左腕は破壊せずに、巨大メダロットを倒せ！,Defeat the giant medabot without destroying its left arm!,romfs\story\spt\bt0037.spt
巨大メダロット,Giant Medabot,romfs\story\spt\bt0037.spt
できるだけ多くのメダロットを倒せ！,Defeat as many medabots as possible!,romfs\story\spt\bt0038.spt
全てのメダロットを倒せ！,Defeat all medabots!,romfs\story\spt\bt0040.spt
　　メダロット　,medabot,romfs\story\spt\btlset_test.spt
＞　メダロット　,＞ Medabot,romfs\story\spt\btlset_test.spt
ロボトル中のメダロットにパーツを転送する機能さ。,It's a function that transfers parts to the medabot in the robattle.,romfs\story\spt\f02_015_161_00_t023.spt
メダロット誘拐犯を探すんだよね。,You're looking for the medabot kidnappers.,romfs\story\spt\f02_016_162_00_t012.spt
野良メダロットか…,Stray medabots...,romfs\story\spt\f02_090_200_00_t002.spt
野良メダロットが入り込んでいたりするね。,I see some stray medabots entering the area.,romfs\story\spt\f02_090_200_00_t002.spt
あの、確かこのメダロット,"Um, I'm pretty sure this medabot",romfs\story\spt\f02_110_210_00_t101.spt
水に強いパワータイプのメダロットがいれば,If there is a water-resistant power type medabot,romfs\story\spt\f02_120_210_30_t021.spt
あとは引っ張ってくれるメダロットさえいれば…,Now if only we had a medabot to pull it together...,romfs\story\spt\f02_120_210_40_t011.spt
メダロットは決まってるからね。,The medabot is a given.,romfs\story\spt\f02_130_210_00_t002.spt
水中で引っ張ってくれるメダロットさえいれば…,If only we had a medabot to pull us underwater...,romfs\story\spt\f02_130_210_00_t201.spt
野良メダロットを倒したときに拾えたり,You can pick it up when you defeat a stray medabot or,romfs\story\spt\f03_010_161_00_t003.spt
すごくよく似たメダロットに会ったんだけど…,I met a medabot that looked very similar...,romfs\story\spt\f03_050_230_00_t002.spt
だったらメダロット違いじゃないのか？,"If so, isn't that the wrong medabot?",romfs\story\spt\f03_050_230_00_t002.spt
メダロット工学はゼッタイとして――,Medabot engineering is absolutely--,romfs\story\spt\f03_090_161_00_t002.spt
このメダロットくん、あなたのパートナー？,Is this Mr. Medabot your partner?,romfs\story\spt\f04_030_115_00_t031.spt
つまりあなたと、以前のメダロットは…,"In other words, you and the previous medabot...",romfs\story\spt\f04_030_115_00_t031.spt
以前のメダロットとは、まったく関わりがない…と,I have no connection with the previous medabots....,romfs\story\spt\f04_030_115_00_t032.spt
メダロットの知識にかけては,For his knowledge of medabots.,romfs\story\spt\f04_050_131_30_t032.spt
メダロット研究会チーム！,Medabot Research club!,romfs\story\spt\f04_050_131_30_t032.spt
この島でいちばん強いメダロットに勝てるヒトとなら,If you can beat the strongest medabot on the island...,romfs\story\spt\f05_035_230_10_t023.spt
いちばん強いメダロットがいる場所を聞いたら,I asked him where the strongest medabot was.,romfs\story\spt\f05_035_230_10_t024.spt
パーツとティンペットの接続時にメダロットの神経ネ,When connecting the parts and the tinpet, the medabot's neural network is activated,romfs\story\spt\f05_090_154_00_t024.spt
なげくのは、メダロット面接のあとになさい。,"Throw a fit, but only after the medabot interview.",romfs\story\spt\f05_100_117_00_t023.spt
全校生徒に伝える。,Announcement to all students.,romfs\story\spt\f11_060_108_00_t011.spt
校内に侵入した野良メダロットを,A stray medabot has infiltrated the school.,romfs\story\spt\f11_060_108_00_t011.spt
見つけしだい討伐してほしい。,I want you to eliminate them as soon as you find them.,romfs\story\spt\f11_060_108_00_t011.spt
現在、野良メダロットの主な侵入ポイントは,"Currently, the main entry points for stray medabots are",romfs\story\spt\f11_060_108_00_t011.spt
正門そして寮の裏手の２か所だ。,two locations - the main gate and the back of the dormitory.,romfs\story\spt\f11_060_108_00_t011.spt
また、少数ではあるが,"In addition, a small number of individuals",romfs\story\spt\f11_060_108_00_t011.spt
教室の窓等から入り込んだ個体も確認されている。,have been confirmed entering through classroom windows.,romfs\story\spt\f11_060_108_00_t011.spt
レスキュー部は校門に、メダロット研究会は,The rescue team will intercept the invading medabots at the school gate and the,romfs\story\spt\f11_060_108_00_t011.spt
寮前にて侵入メダロットを迎撃してくれ。,Medabot Research Club will intercept in front of the dormitory.,romfs\story\spt\f11_060_108_00_t011.spt
その他の部は,All other clubs should act,romfs\story\spt\f11_060_108_00_t011.spt
当面それぞれの判断で行動してほしい。,according to your own judgment for the time being.,romfs\story\spt\f11_060_108_00_t011.spt
変化があったらまた知らせる。,I'll notify you if there are any changes.,romfs\story\spt\f11_060_108_00_t011.spt
以上だ。,That's all.,romfs\story\spt\f11_060_108_00_t011.spt
リョウマ,Ryoma,romfs\story\spt\bt0021.spt
マイン,Mein,romfs\story\spt\f04_050_131_30.spt
アオイ,Aoi,romfs\story\spt\bt0506.spt
