jp,en,file
へへ、探検部だってよ。,"Hehe, they say it's an exploration club.",romfs\story\spt\bt0032.spt
クヘイジ,Kuwait,romfs\story\spt\bt0032.spt
ラッキー。,Lucky.,romfs\story\spt\bt0032.spt
うちには頼もし～い助っ人がいるんだから。,We have a very reliable helper.,romfs\story\spt\bt0033.spt
ギンレイ,silver carp (Hypophthalmichthys molitrix),romfs\story\spt\bt0033.spt
いつもどおり叩きのめしてやるぜ！,I'm going to beat you to the punch as usual!,romfs\story\spt\bt0034.spt
マグレもここで終わりだ。,This is where the magre ends.,romfs\story\spt\bt0034.spt
・・・アシ・・・スキ・・・,...reed... Suki...,romfs\story\spt\bt0035.spt
これは体罰もやむを得んなあ！,This is unavoidable corporal punishment!,romfs\story\spt\bt0036.spt
ロボロボ団長,Rubberobo Commander,romfs\story\spt\bt0036.spt
目上に対する礼儀もなってねえ。,They don't even have the decency to be polite to their superiors.,romfs\story\spt\bt0036.spt
ビッグロボトル！,Big robattle!,romfs\story\spt\bt0037.spt
・・・てきはっけん！,...suitable discovery!,romfs\story\spt\bt0037.spt
・・・はいじょする！,..........to be removed!,romfs\story\spt\bt0037.spt
機能停止数勝負！,Stop functioning number game!,romfs\story\spt\bt0039.spt
勝ち抜きロボトル！,Winning robattle!,romfs\story\spt\bt0040.spt
これだけいれば、負けないロボ～！,"With all these, we can't lose, Robo~!",romfs\story\spt\bt0041.spt
メダリウム？,Medarium?,romfs\story\spt\bt0045.spt
・・・ギ・・・ギ・・・ギ・・・,Guy... Guy... Guy...,romfs\story\spt\bt0045.spt
謎の生命体の復活を阻止せよ！,Stop the resurrection of a mysterious life form!,romfs\story\spt\bt0045.spt
謎の生命体の侵攻を阻止せよ！,Stop the invasion of mysterious life forms!,romfs\story\spt\bt0046.spt
生徒会長：スズネ,Student Body President: Suzune,romfs\story\spt\bt0060.spt
相手になろう。,Let's be a partner.,romfs\story\spt\bt0060.spt
おういいぞ！,"Oh, good!",romfs\story\spt\bt0061.spt
かかってきなさい！,Come to me!,romfs\story\spt\bt0061.spt
アケボノ先生,Dr. Akebono.,romfs\story\spt\bt0061.spt
なに？　ロボトル？,What is it?　Lobottle?,romfs\story\spt\bt0303.spt
やるやる！,I'll do it!,romfs\story\spt\bt0303.spt
ジュンペイ,Junpei era (1118.4.27-1120.4.10),romfs\story\spt\bt0303.spt
えっ、ロボトル？,"What, robattle?",romfs\story\spt\bt0306.spt
もちろんやるよ、いくよー。,"Of course I'll do it, I'll go!",romfs\story\spt\bt0306.spt

うん、やろう！,"Yeah, let's do it!",romfs\story\spt\bt0309.spt
ヒロキ,Hiroki.,romfs\story\spt\bt0309.spt
ロボトルかー。,"robattle, huh?",romfs\story\spt\bt0309.spt
えー、ロボトル？,"Eh, robattle?",romfs\story\spt\bt0312.spt
どうしよっかなあ。,I wonder what I should do.,romfs\story\spt\bt0312.spt
いっくぞー！,I'm going to go!,romfs\story\spt\bt0315.spt
うん、もちろんやるよ。,"Yes, of course I'll do it.",romfs\story\spt\bt0315.spt
タルヘイ,"northern snakehead (species of fish, Channa argus)",romfs\story\spt\bt0315.spt
よーし、がんばるぞー！,"Okay, I'll do my best!",romfs\story\spt\bt0318.spt
ロボトルかい？,Lobottle?,romfs\story\spt\bt0318.spt
いやいや、やるよ！　よしいくぞー！,"No, no, no, I'll do it!　All right, let's go!",romfs\story\spt\bt0321.spt
え、今かい…？,"Oh, now...?",romfs\story\spt\bt0321.spt
マサムネ,evil spirit,romfs\story\spt\bt0321.spt
いいぜ、負けても泣くんじゃねーぞ！,"Look, don't cry if you lose!",romfs\story\spt\bt0324.spt
なに、オレさまと勝負したいのか？,"What, you want to play with me?",romfs\story\spt\bt0324.spt
ハツタカ,Hatsutaka,romfs\story\spt\bt0324.spt
お…　おう。,Oh... oh.,romfs\story\spt\bt0328.spt
カゲトラ,turtledove tiger (Panthera tigris altaica),romfs\story\spt\bt0328.spt
どうしよっかなあ…,I don't know what to do...,romfs\story\spt\bt0331.spt
ショウヘイ,Shouhei era (of the Northern Court) (1332.4.28-1333.5.?),romfs\story\spt\bt0331.spt
ロボトルかあ。,"Lobottle, huh?",romfs\story\spt\bt0331.spt
いいよ、やろうやろう。,"Okay, let's do it, let's do it.",romfs\story\spt\bt0334.spt
おっ、ロボトルかい？,"Whoa, Lobottle?",romfs\story\spt\bt0334.spt
イチ,one,romfs\story\spt\bt0334.spt
よろこんで相手になるよ。,I'd be happy to play with you.,romfs\story\spt\bt0337.spt
エイシン,eisin,romfs\story\spt\bt0337.spt
ロボトルか、いいね。,"Lobottle, good one.",romfs\story\spt\bt0337.spt
やるか…,Let's do it...,romfs\story\spt\bt0340.spt
タカ,falcon (Falconidae spp.),romfs\story\spt\bt0340.spt
ふっ、いいぜ。,"Phew, that's good.",romfs\story\spt\bt0343.spt
ハンゾウ,elephant seal (Mirounga spp.),romfs\story\spt\bt0343.spt
本気でかかってきな。,You've got to be serious.,romfs\story\spt\bt0343.spt
やってもいいけど、どうしようかなあ。,"I don't mind doing it, but I don't know what I'm going to do.",romfs\story\spt\bt0346.spt
サッカラ,Sakkara (member of India's merchant-and-farmer caste),romfs\story\spt\bt0346.spt
へへっいいぜ、そーこなくっちゃ！,"Hehehe, that's good, that's what I'm talking about!",romfs\story\spt\bt0349.spt
ロボトル？,Robottle?,romfs\story\spt\bt0349.spt
いいぜ、さあ来いよ。,"All right, come on. Come on.",romfs\story\spt\bt0352.spt
ほう？,Hou?,romfs\story\spt\bt0352.spt
ミユキ,Miyuki (northernmost of the four main islands of Japan),romfs\story\spt\bt0352.spt
ナギサ,common cattail (Typha latifolia),romfs\story\spt\bt0356.spt
ロボトルだったらいつでも大歓迎さ！,"If it's a robattle, you're always welcome!",romfs\story\spt\bt0356.spt
なに！？,What!,romfs\story\spt\bt0359.spt
アキトラ,yellow tigerfish (Ctenochaetus joyneri),romfs\story\spt\bt0359.spt
ロボトルだとっ！？,Lobottle!,romfs\story\spt\bt0359.spt
…ん？,Hmm?,romfs\story\spt\bt0362.spt
ダスティ,dusty,romfs\story\spt\bt0362.spt
おうっ、もちろんいいぜ。,"Oooh, of course it's good.",romfs\story\spt\bt0365.spt
かかってきな！,Come on!,romfs\story\spt\bt0365.spt
ホマレ,Homare,romfs\story\spt\bt0365.spt
そりゃ構わないが…,"That's fine, but...",romfs\story\spt\bt0368.spt
ユーリゲ,euriger,romfs\story\spt\bt0368.spt
ま、まあ構わんが…　いくぞ！,"Well, okay, but... here we go!",romfs\story\spt\bt0371.spt
ロクジュウゴ,Rokjugo (variety of rice),romfs\story\spt\bt0371.spt
今すぐにか？,Right now?,romfs\story\spt\bt0371.spt
ボディントン,Boddington.,romfs\story\spt\bt0374.spt
ロボトルか…,robattle or...,romfs\story\spt\bt0374.spt
先に言っておくが、オレは手を抜けない男だぜ。,"Before I go any further, let me tell you that I'm a hard man to cut corners with.",romfs\story\spt\bt0374.spt
よしきた、相手になってやるぜ！,"Okay, here we go. I'll be your partner!",romfs\story\spt\bt0377.spt
モモタロウ,"Sirius (star in the constellation Ursa Minor, one of the 28 mansions)",romfs\story\spt\bt0377.spt
生徒男1年_C,"Student male, 1st year_C",romfs\story\spt\bt0380.spt
やる！,Do!,romfs\story\spt\bt0381.spt
イチル,Ichiru,romfs\story\spt\bt0381.spt
え～ロボトル？,Eh~ Lobottle?,romfs\story\spt\bt0384.spt
どうしよっかなー。,What should I do?,romfs\story\spt\bt0384.spt
いいけど？,Okay?,romfs\story\spt\bt0387.spt
もちろんいいわよ、負けないよー！,"Of course it's fine, I won't lose!",romfs\story\spt\bt0390.spt
ロボトルね？,"Lobottle, right?",romfs\story\spt\bt0390.spt
いいわ！,All right!,romfs\story\spt\bt0393.spt
セン,stopper,romfs\story\spt\bt0393.spt
勝負よ！,It's a game!,romfs\story\spt\bt0393.spt
もっちろん！,Of course!,romfs\story\spt\bt0396.spt
ネネ,arsehole (of a feather),romfs\story\spt\bt0396.spt
ロボトル？　やるやる！,Lobottle?　I'll do it!,romfs\story\spt\bt0396.spt
うん、いいよ！,"Yeah, okay!",romfs\story\spt\bt0399.spt
ハナユキ,snowdrop (Galanthus spp.),romfs\story\spt\bt0399.spt
ユキシロ,snow white,romfs\story\spt\bt0402.spt
…勝負！,...game!,romfs\story\spt\bt0405.spt
いいわよ。,All right.,romfs\story\spt\bt0405.spt
スイロ,swallowing down the wrong pipe,romfs\story\spt\bt0405.spt
もちろんいいよ！,Of course it's fine!,romfs\story\spt\bt0409.spt
マドカ,madoka,romfs\story\spt\bt0409.spt
ロボトルしようぜー！,Let's robattle!,romfs\story\spt\bt0409.spt
いいですけどお…,"It's nice, but...",romfs\story\spt\bt0412.spt
ショウコ,three-of-a-kind made with a tile called from another player,romfs\story\spt\bt0412.spt
ロボトルですかあ？,Lobottle?,romfs\story\spt\bt0412.spt
いいわよ？,Okay?,romfs\story\spt\bt0415.spt
ミスズ,water pepper (Piper methysticum),romfs\story\spt\bt0415.spt
いいけど…,"Okay, but...",romfs\story\spt\bt0418.spt
なにが起こっても知らないわよ…,I don't know what happened to you...,romfs\story\spt\bt0418.spt
ユキノ,snow snow,romfs\story\spt\bt0418.spt
いいよー！,It's fine!,romfs\story\spt\bt0421.spt
サラユキ,sarayuki (var. of eucalyptus),romfs\story\spt\bt0424.spt
フウカ,Alaska pollack (Theragra chalcogramma),romfs\story\spt\bt0427.spt
別にいいですけどー。,I don't mind.,romfs\story\spt\bt0427.spt
いいですよ！,All right!,romfs\story\spt\bt0430.spt
やりましょう！,Let's do it!,romfs\story\spt\bt0430.spt
ホムラ,homura,romfs\story\spt\bt0430.spt
えへへ、いいよっ。,"Hehehe, okay.",romfs\story\spt\bt0435.spt
がんばるぞ～！,I'll do my best!,romfs\story\spt\bt0435.spt
メグミ,Japanese apricot (Prunus mume),romfs\story\spt\bt0435.spt
キクヨ,Amur stickleback (Pungitius sinensis),romfs\story\spt\bt0438.spt
アマネコ,rosefinch (any finch of genus Carpodacus),romfs\story\spt\bt0441.spt
ロボトル？　いいよ！,Robottle?　OK!,romfs\story\spt\bt0441.spt
負けないよー！,I won't lose!,romfs\story\spt\bt0441.spt
よしいっくぞ～！,"All right, let's go!",romfs\story\spt\bt0444.spt
サワヒメ,Thunberg's sparrowhawk (Accipiter sauteri),romfs\story\spt\bt0444.spt
もちろん受けるわ、かかってらっしゃい！,Of course I'll take it. Have at it!,romfs\story\spt\bt0447.spt
わたしとロボトル？,Me and robattle?,romfs\story\spt\bt0447.spt
シラギク,chrysanthemum (Chrysanthemum indicum),romfs\story\spt\bt0447.spt
うんうん、ぜひお手合わせ願いたいな～。,"Yes, yes, I would love to meet you!",romfs\story\spt\bt0450.spt
なになに？　ロボトル？,What what what?　Lobottle?,romfs\story\spt\bt0450.spt
いいわよ、やりましょうか。,"Okay, let's do it.",romfs\story\spt\bt0453.spt
あ、ロボトルやるの？,"Oh, you're going to do robattle?",romfs\story\spt\bt0456.spt
いいわよ、負っけないよ～！,"Okay, I'm not going to lose!",romfs\story\spt\bt0456.spt
ラウリ,lauri,romfs\story\spt\bt0456.spt
ふっ、ぼくとですか？,With me?,romfs\story\spt\bt0464.spt
もちろんいいですよ、お相手しましょう。,"Of course, that's fine, I'll deal with you.",romfs\story\spt\bt0464.spt
生徒会：ヒョウガ,Student Council: Hyoga,romfs\story\spt\bt0464.spt
お相手しましょう…,Let's play with you...,romfs\story\spt\bt0466.spt
戦闘準備ですか。,Are you ready for battle?,romfs\story\spt\bt0466.spt
もちろんいいよ、よろしくね。,"Of course it's fine, nice to meet you.",romfs\story\spt\bt0467.spt
生徒会：キヨト,Student Council: Kiyoto,romfs\story\spt\bt0467.spt
あ、ああわかった、相手になるよ。,"Oh, yeah, okay, I'll be your partner.",romfs\story\spt\bt0469.spt
ロボトル…,Lobottle...,romfs\story\spt\bt0469.spt
えっ、ロボトルですかあ？,"What, a robattle?",romfs\story\spt\bt0470.spt
もちろんＯＫですよ～。,Of course it's OK!,romfs\story\spt\bt0470.spt
生徒会：ヤチヨ,Student Council: Yachiyo,romfs\story\spt\bt0470.spt
え、今ですかあ？,"Oh, now?",romfs\story\spt\bt0472.spt
それどころじゃない気がするんですけどお…,I don't think that's the point...,romfs\story\spt\bt0472.spt
あっ、ロボトルだねっ。,"Oh, it's a robattle, isn't it?",romfs\story\spt\bt0473.spt
もちろんやるやる、いっくぞ～！,"Of course I'll do it, I'll do it, I'll do it!",romfs\story\spt\bt0473.spt
生徒会：チロリ,Student Council: Chilori,romfs\story\spt\bt0473.spt
そっかチューニングしたいんだね。手伝うよ。,I see you want to tune it up. Let me help you.,romfs\story\spt\bt0475.spt
うれしいです～！,I am so happy!,romfs\story\spt\bt0480.spt
えっ、わたしとですか？,"What, with me?",romfs\story\spt\bt0480.spt
購買部のおねえさん,The lady in the purchasing department,romfs\story\spt\bt0480.spt
へへっ、もちろんやるさ。うれしいねえ。,"Heh heh, of course I'll do it. I'm happy.",romfs\story\spt\bt0481.spt
用務員のおじさん,Janitor.,romfs\story\spt\bt0481.spt
あら、わたしと？,"Oh, with me?",romfs\story\spt\bt0482.spt
よ～し、がんばるぞ～！,"Alright, I'll do my best!",romfs\story\spt\bt0482.spt
コトブキ先生,Dr. Kotobuki.,romfs\story\spt\bt0482.spt
たまにはいいか、よしやろう！,"Sometimes, okay, let's do it!",romfs\story\spt\bt0484.spt
ほほう、ぼくと？,"Oh, with me?",romfs\story\spt\bt0484.spt
サイトウ先生,Dr. Saito.,romfs\story\spt\bt0484.spt
よしひとつお手合わせ願おうか。,Let's see what you can do.,romfs\story\spt\bt0485.spt
イズモ先生,Dr. Izmo.,romfs\story\spt\bt0485.spt
あらまあ、わたしと？,"Oh my God, with me?",romfs\story\spt\bt0486.spt
もちろんいいわよ、かかってらっしゃい！,"Of course it's fine, go ahead and take it!",romfs\story\spt\bt0486.spt
ヤマモト先生,Dr. Yamamoto.,romfs\story\spt\bt0486.spt
いいわよ、相手になってあげる。,"Okay, I'll be your partner.",romfs\story\spt\bt0487.spt
まあ、わたしとロボトルしたいのね。,"Well, you want to robattle with me.",romfs\story\spt\bt0487.spt
コイマリ先生,Dr. Koimari.,romfs\story\spt\bt0487.spt
ぜひやりましょう！,Let's do it!,romfs\story\spt\bt0488.spt
トミギク先生,Dr. Tomigiku.,romfs\story\spt\bt0488.spt
ロボトル？　いいわね！,Robottle?　Nice!,romfs\story\spt\bt0488.spt
やるか。,Let's do it.,romfs\story\spt\bt0489.spt
校長,principal,romfs\story\spt\bt0489.spt
えっ、ぼくとかい？,"What, with me?",romfs\story\spt\bt0490.spt
そりゃ構わないけど…　自信ないなあ。,"That's fine, but... I'm not sure.",romfs\story\spt\bt0490.spt
教頭,vice principal,romfs\story\spt\bt0490.spt
えっ、わたしと？,"What, with me?",romfs\story\spt\bt0491.spt
やりま～す！,I'll do it!,romfs\story\spt\bt0491.spt
コンビニ店員,convenience store clerk,romfs\story\spt\bt0491.spt
いいぜ、軽～くヒネってやるよ！,"Fine, I'll give you a light tweak!",romfs\story\spt\bt0499.spt
おっ、やるのか。,"Whoa, you're going to do it?",romfs\story\spt\bt0499.spt
いいだろう。,All right.,romfs\story\spt\bt0500.spt
レスキュー部長,Rescue Director,romfs\story\spt\bt0500.spt
はい、ぜひお願いします！,"Yes, please do!",romfs\story\spt\bt0506.spt
わたしとですか？,With me?,romfs\story\spt\bt0506.spt
えっ、わたしとですかぁ？,"What, with me?",romfs\story\spt\bt0509.spt
や～ん、どうしよっかな～。,"Ya~mmm, what should I do?",romfs\story\spt\bt0509.spt
わあ、もちろんやるロボ！　負けないロボ～！,"Wow, of course you do, Robo!　A robot that won't lose~!",romfs\story\spt\bt0512.spt
ロボトルロボか？,Robotlrobot?,romfs\story\spt\bt0512.spt
はっ、ロボトルでありますね！,"Ha, it is a robattle, isn't it?",romfs\story\spt\bt0527.spt
もちろん喜んでお相手するであります！,"Of course, we will be happy to accommodate you!",romfs\story\spt\bt0527.spt
生徒会長,president of the student council,romfs\story\spt\bt0554.spt
転入生,transfer student,romfs\story\spt\bt0557.spt
ロボロボ団ザコ男,Roborobodan Zako Man,romfs\story\spt\bt0560.spt
ロボロボ団ザコ女,Rubberobo-Dan Zako Woman,romfs\story\spt\bt0563.spt
セレクト隊男隊員,Select Corps Male Member,romfs\story\spt\bt0566.spt
※不可の組み合わせも数値で計算,Numerical calculations for ※incompatible combinations,romfs\story\spt\btl_move_test.spt
コンボ：右左,Combo: right-left,romfs\story\spt\btl_move_test.spt
コンボ：頭右,Combo: head right,romfs\story\spt\btl_move_test.spt
コンボ：頭右左,Combo: head right-left,romfs\story\spt\btl_move_test.spt
コンボ：頭左,Combo: head left,romfs\story\spt\btl_move_test.spt
右腕,right arm,romfs\story\spt\btl_move_test.spt
左腕,left arm,romfs\story\spt\btl_move_test.spt
終了,end,romfs\story\spt\btl_move_test.spt
頭,head,romfs\story\spt\btl_move_test.spt
　　右うで　,　　right hand,romfs\story\spt\btlset_test.spt
　　左うで　,　　left arm,romfs\story\spt\btlset_test.spt
　　戻る,　　return,romfs\story\spt\btlset_test.spt
　　脚部　,　　leg,romfs\story\spt\btlset_test.spt
　　頭　,　　head,romfs\story\spt\btlset_test.spt
＞　右うで　,＞ Right arm,romfs\story\spt\btlset_test.spt
＞　左うで　,＞ Left arm,romfs\story\spt\btlset_test.spt
＞　戻る,> Back,romfs\story\spt\btlset_test.spt
＞　脚部　,＞ Legs,romfs\story\spt\btlset_test.spt
＞　頭　,> Head,romfs\story\spt\btlset_test.spt
アニス,anise,romfs\story\spt\buddy_dollreset.spt
セージ,sage,romfs\story\spt\buddy_dollreset.spt
入口_1,Entrance_1,romfs\story\spt\buddy_dollreset.spt
入口_2,Entrance_2,romfs\story\spt\buddy_dollreset.spt
入口_3,Entrance_3,romfs\story\spt\buddy_dollreset.spt
新人,newcomer,romfs\story\spt\buddy_dollset.spt
カメラ変更1to2,Camera change 1to2,romfs\story\spt\c_camera_1to2.spt
カメラ変更1to2_1,Camera change1to2_1,romfs\story\spt\c_camera_1to2.spt
カメラ変更dto2,Camera change dto2,romfs\story\spt\c_camera_2.spt
カメラ変更dto2_1,Camera change dto2_1,romfs\story\spt\c_camera_2.spt
カメラ変更dto1,Camera change dto1,romfs\story\spt\c_camera_d.spt
カメラ変更dto1_1,Camera change dto1_1,romfs\story\spt\c_camera_d.spt
カメラ変更dto3,Camera change dto3,romfs\story\spt\c_camera_dto3.spt
カメラ変更dto3_1,Camera change dto3_1,romfs\story\spt\c_camera_dto3.spt
ライト変更,Light Change,romfs\story\spt\c_light.spt
ライト変更_1,Light change_1,romfs\story\spt\c_light.spt
白ライト,white light,romfs\story\spt\c_light.spt
黒ライト,black light,romfs\story\spt\c_light.spt
カメラリセット,Camera reset,romfs\story\spt\camera_reset.spt
ターゲットオフ,target off,romfs\story\spt\camera_target_off.spt
ターゲットオン,target-on,romfs\story\spt\camera_target_off.spt
eArea.アズマ家:２F,eArea.Azumaya:2F,romfs\story\spt\dbg_st.spt
eArea.主人公の部屋,eArea. room of the main character,romfs\story\spt\dbg_st.spt
スタート,start,romfs\story\spt\dbg_st.spt
ベッド寝,sleeping in bed,romfs\story\spt\dbg_st.spt
開始？,Start?,romfs\story\spt\dbg_st.spt
１章,Chapter 1,romfs\story\spt\dbg_st.spt
１０章,Chapter 10.,romfs\story\spt\dbg_st.spt
２章,Chapter 2,romfs\story\spt\dbg_st.spt
３章,Chapter 3,romfs\story\spt\dbg_st.spt
４章,Chapter 4,romfs\story\spt\dbg_st.spt
５章,Chapter 5,romfs\story\spt\dbg_st.spt
６章,Chapter 6.,romfs\story\spt\dbg_st.spt
７章,Chapter 7.,romfs\story\spt\dbg_st.spt
８章,Chapter 8.,romfs\story\spt\dbg_st.spt
９章,Chapter 9.,romfs\story\spt\dbg_st.spt
コレオ,choreo,romfs\story\spt\dbg02st.spt
メタビー,metabee,romfs\story\spt\dbg02st.spt
ルカニ,lucani,romfs\story\spt\dbg02st.spt
ロクショウ,Japanese rat snake (Elaphe climacophora),romfs\story\spt\dbg02st.spt
いろいろメニュー,Various Menus,romfs\story\spt\dev_debug_menu.spt
ガチャコイン,Gacha Coin,romfs\story\spt\dev_debug_menu.spt
セクター,sector,romfs\story\spt\dev_debug_menu.spt
パートナーメダOFF,Partner Meda OFF,romfs\story\spt\dev_debug_menu.spt
パートナーメダON,Partner Meda ON,romfs\story\spt\dev_debug_menu.spt
大事なもの,Important.,romfs\story\spt\dev_debug_menu.spt
戻る,return,romfs\story\spt\dev_debug_menu.spt
所持金,money in one's possession,romfs\story\spt\dev_debug_menu.spt
曲OFF,TURN OFF,romfs\story\spt\dev_debug_menu.spt
曲ON,Bent ON,romfs\story\spt\dev_debug_menu.spt
通信ネームクリア,Communication Name Clear,romfs\story\spt\dev_debug_menu.spt
０円ショップ,"store that sells second hand clothes, accessories, etc. for 0 yen each",romfs\story\spt\dev_debug_menu.spt
Y:ステージ表示,Y: Stage display,romfs\story\spt\effect_test.spt
Y:ステージ非表示,Y: Stage hidden,romfs\story\spt\effect_test.spt
　※参加できません,　※Cannot participate,romfs\story\spt\effect_test.spt
　　セッティング,　　setting,romfs\story\spt\effect_test.spt
　　パーツ転送　＜,　　Parts Transfer ＜,romfs\story\spt\effect_test.spt
　　ロボトル開始,　　Lobottle start,romfs\story\spt\effect_test.spt
　　攻撃側　＜,　　Attacker ＜,romfs\story\spt\effect_test.spt
　　防御側　＜,　　Defenders,romfs\story\spt\effect_test.spt
エフェクトテスト,Effects Testing,romfs\story\spt\effect_test.spt
転送右,Transfer Right,romfs\story\spt\effect_test.spt
転送左,Transfer Left,romfs\story\spt\effect_test.spt
転送脚,transfer leg,romfs\story\spt\effect_test.spt
＞　セッティング,> Setting,romfs\story\spt\effect_test.spt
＞　パーツ転送　＜,＞ Parts Transfer,romfs\story\spt\effect_test.spt
＞　ロボトル開始,＞ Lobottle started,romfs\story\spt\effect_test.spt
＞　攻撃側　＜,＞ Attacker.,romfs\story\spt\effect_test.spt
＞　防御側　＜,＞ Defenders,romfs\story\spt\effect_test.spt
エンカウント,an encounter (usu. in computer games),romfs\story\spt\ene_m212.spt
出口矢印,Exit arrow,romfs\story\spt\eve_arrowoff.spt
出口矢印1,Exit arrow 1,romfs\story\spt\eve_arrowoff.spt
出口矢印2,Exit arrow 2,romfs\story\spt\eve_arrowoff.spt
出口矢印3,Exit arrow 3,romfs\story\spt\eve_arrowoff.spt
出口矢印4,Exit arrow 4,romfs\story\spt\eve_arrowoff.spt
島マップへ,Go to Island Map,romfs\story\spt\eve_arrowoff.spt
町外矢印,Arrows outside of town,romfs\story\spt\eve_arrowoff.spt
右_out,right_out,romfs\story\spt\exit_move101_03.spt
上_out,up_out,romfs\story\spt\exit_move117_00.spt
左2,left2,romfs\story\spt\exit_move117_00.spt
左_out,left_out,romfs\story\spt\exit_move130_00.spt
下_out,lower_out,romfs\story\spt\exit_move150_04.spt
部室棟_out,Club building_out,romfs\story\spt\exit_move160_00.spt
部室棟側out,Club building side out,romfs\story\spt\exit_move160_01.spt
部屋前2,Room front 2,romfs\story\spt\exit_move163_00.spt
山道１_out,Mountain Road 1_out,romfs\story\spt\exit_move330_01.spt
入口_out,Entrance_out,romfs\story\spt\exit_move331_00.spt
学校_out,School_out,romfs\story\spt\exit_move500_00.spt
NPC下校1,NPC Dismissal 1,romfs\story\spt\f00_000_900_00.spt
NPC下校2,NPC Downstairs 2,romfs\story\spt\f00_000_900_00.spt
NPC下校3,NPC Disembarkation 3,romfs\story\spt\f00_000_900_00.spt
ともだち1,Friend1,romfs\story\spt\f00_000_900_00.spt
どこかの中学生女A,Some junior high school girl A,romfs\story\spt\f00_000_900_00.spt
どこかの中学生女B,Some junior high school girl b,romfs\story\spt\f00_000_900_00.spt
どこかの中学生男A,Some junior high school boy A,romfs\story\spt\f00_000_900_00.spt
どこかの中学生男B,Some junior high school boy b,romfs\story\spt\f00_000_900_00.spt
イベント1,Event 1,romfs\story\spt\f00_000_900_00.spt
妹_メダ,Sister_Meda,romfs\story\spt\f00_000_900_00.spt
帰路1,Return 1,romfs\story\spt\f00_000_900_00.spt
帰路2,Return 2,romfs\story\spt\f00_000_900_00.spt
サイカ1,Saika1,romfs\story\spt\f00_010_901_00.spt
プロペラ,propeller,romfs\story\spt\f00_010_901_00.spt
メタビー1,Metabee 1,romfs\story\spt\f00_010_901_00.spt
メタビー退場,Metabee Exit,romfs\story\spt\f00_010_901_00.spt
ロボロボ1,Roborobo1,romfs\story\spt\f00_010_901_00.spt
ロボロボ2,Roborobo 2,romfs\story\spt\f00_010_901_00.spt
